course_code,section_no,room
MATH202R,A,EF_AB1.237
MATH202R,B,EF_AB1.238
MATH211,A,SCOLA.326
MATH211,B,EF_AB1.241
MATH211,C,SCOLA.326
MATH211R,A,SCOLA.326
MATH211R,C,EF_AB1.237
MATH212,A,EF_AB1.241
MATH215,A,EF_AB1.238
MATH216,A,EF_AB1.232
MATH216R,A,EF_AB1.245
MATH217,B,EF_AB1.246
ME202,A,EF_AB1.511
ME211,A,EF_AB1.225
ME300,A,
ME301,A,EF_AB1.409
ME301L,B,EF_AB1.B07
ME323,A,EF_AB1.232
ME334R,A,EF_AB1.509
ME401,A,FEAS_AB2.112
ME402,A,
ME406,A,EF_AB1.414
ME412,A,EF_AB1.231
ME413,A,EF_AB1.409;EF_AB1.413
ME419,A,EF_AB1.413;EF_AB1.418
MEC396,A,EF_AB1.245
PHYS101,A,EF_AB1.509
PHYS101,B,EF_AB1.509
PHYS101,C,EF_AB1.509
PHYS101,D,EF_AB1.510
PHYS101,E,EF_AB1.511
PHYS101,F,EF_AB1.510
PHYS101L,A,EF_AB1.G15
PHYS101L,B,EF_AB1.G24
PHYS101L,C,EF_AB1.G15
PHYS101L,D,EF_AB1.G24
PHYS101L,E,EF_AB1.G15
PHYS101L,F,EF_AB1.G24
PHYS101L,G,EF_AB1.G15
PHYS101L,H,EF_AB1.G24
PHYS101L,I,EF_AB1.G15
PHYS101L,J,EF_AB1.G24
PHYS101L,K,EF_AB1.G15
PHYS101L,L,EF_AB1.G24
PHYS101L,M,EF_AB1.G15
PHYS101L,N,EF_AB1.G24
PHYS101L,O,EF_AB1.G15
PHYS101L,P,EF_AB1.G24
PHYS101L,Q,EF_AB1.G15
PHYS101L,R,EF_AB1.G24
PHYS101L,S,EF_AB1.G15
PHYS101L,T,EF_AB1.G24
PHYS102,A,EF_AB1.409
PHYS102,B,EF_AB1.510
PHYS102,C,EF_AB1.511
PHYS102L,A,EF_AB1.G15
PHYS102L,B,EF_AB1.G24
PHYS102L,C,EF_AB1.G15
PHYS102L,D,EF_AB1.G24
PHYS102L,E,EF_AB1.G15
PHYS102L,F,EF_AB1.G24
PHYS102L,G,EF_AB1.G15
PHYS102L,H,EF_AB1.G24
PHYS102L,I,EF_AB1.G15
PHYS102L,J,EF_AB1.G24
PHYS102L,K,EF_AB1.G15
PHYS102L,L,EF_AB1.G24
PHYS325,A,EF_AB1.409;EF_AB1.231
CE302,A,EF_AB1.231
CE302L,B,EF_AB1.B14A
CE310,A,EF_AB1.412
CHEM111L,B,EF_AB1.401
CS423,A,EF_AB1.412
EE462,A,EF_AB1.511
MATH103,B,EF_AB1.237
MATH104R,B,EF_AB1.408
MATH107R,A,EF_AB1.225
MATH112,B,EF_AB1.241
MATH201R,B,EF_AB1.225
MATH211R,B,EF_AB1.241
MATH217,A,EF_AB1.511
ME111,A,EF_AB1.238
ME311,A,EF_AB1.409
ME334,A,EF_AB1.246;EF_AB1.511
ME400,A,
CS104L,A,EF_AB1.237
